SP,RP,TI,TT,UT,LMS,CML,MLR,RP2,TI2,TT2,UT2,LMS2,CML2,MLR2,mean,trans,pre_trans,s2s,pres2s,dae
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.24924241,0.25073215,1.0,0.9874200999999999,0.99997956,1.0,1.0,0.50876784,0.24595037,1.0,0.9991324,0.9999925,1.0,1.0,0.7179558000000001,0.82190935,0.955037771,0.98167674,0.019740216,2.09e-05,0.976613133
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.24899153,0.25055203,1.0,0.9988152,0.9999859,1.0,1.0,0.5096164000000001,0.24526209,1.0,0.99827456,0.9999979999999999,1.0,1.0,0.7176716999999999,0.823147327,0.95765601,0.981505242,0.019768043,0.000280508,0.980852495
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.4154916,0.42014688,1.0,0.9870365,0.99997896,1.0,1.0,0.52171695,0.41456000000000004,1.0,0.999288,0.999984,1.0,1.0,0.7205229000000001,0.86460088,0.956753113,0.9822029640000001,0.022278772000000002,2.2100000000000002e-05,0.9842765459999999
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.5815018,0.59009707,1.0,0.99410814,0.9999903,1.0,1.0,0.5293726,0.5777781,1.0,0.999288,0.9999889000000001,1.0,1.0,0.7188182,0.9064349209999999,0.930689753,0.9809129059999999,0.024844042,1.07e-05,0.988362471
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.26432115,0.25294277,1.0,0.9905773999999999,0.9999846,1.0,1.0,0.37035805,0.26641238,1.0,0.9991324,0.9999671,1.0,1.0,0.7243585,0.8090769409999999,0.931589708,0.979950347,0.025112999,7.45e-06,0.984675686
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.26407024,0.25276268,1.0,0.9988289,0.9999903,1.0,1.0,0.37102670000000004,0.26576233,1.0,0.9990546,0.99753845,1.0,1.0,0.72409666,0.809720682,0.945829712,0.980515455,0.025143662,0.0014594979999999998,0.9860221020000001
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.43057033,0.42235753,1.0,0.9956994,0.99999285,1.0,1.0,0.4362899,0.4348308,1.0,0.999288,0.99998015,1.0,1.0,0.7242538000000001,0.858493652,0.959015754,0.982344654,0.026250312999999997,2.18e-05,0.992577721
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.5965805000000001,0.5923076999999999,1.0,0.9850834,0.9999758,1.0,1.0,0.46752185,0.5980489,1.0,0.999288,0.99997914,1.0,1.0,0.7215539000000001,0.900914848,0.960366908,0.9829481059999999,0.028207437999999998,2.2899999999999998e-05,0.987974017
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.74755937,0.75347203,1.0,0.99056727,0.9999846,1.0,1.0,0.5081475999999999,0.74696606,1.0,0.9991324,0.9999905000000001,1.0,1.0,0.7202983000000001,0.94378722,0.9613978329999999,0.983544957,0.02935099,2.3800000000000003e-05,0.992037251
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.7473085,0.7532919,1.0,0.99881905,0.99997705,1.0,1.0,0.5084301,0.746316,1.0,0.9990546,0.99751794,1.0,1.0,0.72020435,0.944397708,0.965175162,0.983784907,0.029401625,0.000288312,0.993787121
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.7626381,0.75568265,1.0,0.9905821,0.9999846,1.0,1.0,0.46018296,0.76742804,1.0,0.9991324,0.99997395,1.0,1.0,0.7224713,0.940993416,0.962647513,0.983662389,0.03237817,2.36e-05,0.9946384509999999
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.7623871999999999,0.7555026,1.0,0.9988328000000002,0.99997896,1.0,1.0,0.46044433,0.766778,1.0,0.9990546,0.99752086,1.0,1.0,0.72238,0.9416041359999999,0.9663952840000001,0.983915585,0.032428595,0.000288347,0.9964032970000001
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.9135694999999999,0.9225142,1.0,0.99175143,0.9999865,1.0,1.0,0.5110916,0.9101794,1.0,0.999288,0.9999723,1.0,1.0,0.7192799,0.984328015,0.933910151,0.982358605,0.032671753,1.12e-05,0.9769733359999999
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.92864823,0.9247249,1.0,0.9964837,0.9999940999999999,1.0,1.0,0.47165340000000006,0.9305648999999999,1.0,0.999288,0.999984,1.0,1.0,0.7210555000000001,0.983081619,0.964463891,0.9843668320000001,0.035482133,2.4100000000000003e-05,0.975383731
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.92839736,0.92454475,1.0,0.9988406999999999,0.99997896,1.0,1.0,0.47187084,0.92995787,1.0,0.9990546,0.99752086,1.0,1.0,0.7209800999999999,0.9829608059999999,0.96867136,0.984865588,0.035509824,0.000297581,0.9744836159999999
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
0.24924241,0.25073215,1.0,0.9874200999999999,0.99997956,1.0,1.0,0.50876784,0.24595037,1.0,0.9991324,0.9999925,1.0,1.0,0.7179558000000001,0.82190935,0.955037771,0.98167674,0.019740216,2.09e-05,0.976613133
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
0.24899153,0.25055203,1.0,0.9988152,0.9999859,1.0,1.0,0.5096164000000001,0.24526209,1.0,0.99827456,0.9999979999999999,1.0,1.0,0.7176716999999999,0.823147327,0.95765601,0.981505242,0.019768043,0.000280508,0.980852495
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
0.4154916,0.42014688,1.0,0.9870365,0.99997896,1.0,1.0,0.52171695,0.41456000000000004,1.0,0.999288,0.999984,1.0,1.0,0.7205229000000001,0.86460088,0.956753113,0.9822029640000001,0.022278772000000002,2.2100000000000002e-05,0.9842765459999999
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
0.5815018,0.59009707,1.0,0.99410814,0.9999903,1.0,1.0,0.5293726,0.5777781,1.0,0.999288,0.9999889000000001,1.0,1.0,0.7188182,0.9064349209999999,0.930689753,0.9809129059999999,0.024844042,1.07e-05,0.988362471
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
0.26432115,0.25294277,1.0,0.9905773999999999,0.9999846,1.0,1.0,0.37035805,0.26641238,1.0,0.9991324,0.9999671,1.0,1.0,0.7243585,0.8090769409999999,0.931589708,0.979950347,0.025112999,7.45e-06,0.984675686
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
