SP,RP,TI,TT,UT,LMS,CML,MLR,RP,TI,TT,UT,LMS,CML,MLR,mean,trans,pre_trans,s2s,pres2s,dae
0.00142431,0.001778872,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.8325123,0.43624163,0.405897677,0.012480975,0.007549017,0.973047181,0.999869885,0.128119042
0.001471721,0.001838086,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.8275862,0.43823147,0.405550028,0.012461245,0.007534165,0.973275122,0.999869585,0.128119407
0.001519132,0.001897299,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.8226601,0.4401009,0.405187829,0.01244156,0.007519134,0.973498685,0.999869309,0.128119763
0.001566544,0.001956513,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.817734,0.44186044,0.404812352,0.012421845,0.007504252,0.973717775,0.999868847,0.128120131
0.001613955,0.002015726,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.8128079,0.4435196,0.404424745,0.012402553,0.00748922,0.973933273,0.999868559,0.128120499
0.001661366,0.00207494,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.8078818,0.44508672,0.404026255,0.01238326,0.007474384,0.974144948,0.99986804,0.128121057
0.001708777,0.002134153,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.8029557,0.4465692,0.403617299,0.012364134,0.007459457,0.974353453,0.999867729,0.128121412
0.001756188,0.002193367,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.79802954,0.44797373,0.403198917,0.012344962,0.007444426,0.974558744,0.999867349,0.128121801
0.001803599,0.00225258,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.79310346,0.44930625,0.402771844,0.012325896,0.007429604,0.974761148,0.999866888,0.128122189
0.001851011,0.002311794,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7881774,0.4505723,0.40233674,0.012307041,0.007414558,0.974960863,0.999866427,0.128122588
0.001898422,0.002371007,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7832512,0.45177662,0.401894161,0.012288051,0.007399721,0.97515809,0.999866081,0.128122986
0.001945833,0.002430221,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.77832514,0.45292366,0.401444677,0.012269347,0.00738469,0.97535287,0.999865504,0.1281234
0.001993244,0.002489434,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.773399,0.45401746,0.40098875,0.012250447,0.007369808,0.975545329,0.999865124,0.128123786
0.002040655,0.002548648,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7684729,0.4550615,0.400526815,0.012231788,0.007355017,0.975735783,0.99986464,0.128124199
0.002088066,0.002607861,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7635468,0.45605922,0.400059283,0.01221319,0.00733994,0.975924168,0.999864006,0.128124611
0.002135478,0.002667075,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7586207,0.45701355,0.399586508,0.012194653,0.007325194,0.976110768,0.999863602,0.128125017
0.002182889,0.002726288,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7536946,0.45792735,0.399108836,0.012176039,0.007310342,0.97629553,0.999863083,0.128125433
0.0022303,0.002785502,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.74876845,0.45880312,0.398626562,0.012157411,0.007295461,0.976478549,0.999862576,0.128125844
0.002277711,0.002844715,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.74384236,0.45964313,0.398139975,0.012138919,0.007280519,0.976660067,0.999861931,0.128126268
0.002325122,0.002903929,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7389163,0.46044958,0.397649335,0.012120532,0.007265592,0.976839883,0.99986155,0.128126679
0.002372533,0.002963142,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7339902,0.4612245,0.397154881,0.01210216,0.007250846,0.97701825,0.999861008,0.128127098
0.002419944,0.003022356,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.72906405,0.46196955,0.396656812,0.012083623,0.007235994,0.977195189,0.999860432,0.12812753
0.002467356,0.003081569,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7241379,0.46268654,0.396155352,0.012065357,0.007221338,0.977370763,0.999859856,0.128127951
0.002514767,0.003140783,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.7192118,0.463377,0.395650692,0.012046819,0.007206531,0.97754514,0.999859279,0.128128367
0.002562178,0.003199996,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.71428573,0.46404237,0.395143004,0.012028553,0.00719174,0.977718131,0.999858933,0.128128786
0.002609589,0.00325921,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.70935965,0.464684,0.394632447,0.012010332,0.007176888,0.977890029,0.999858184,0.12812923
0.002657,0.003318423,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.7044335,0.46530318,0.394119406,0.011992036,0.007162127,0.978060815,0.999857631,0.128129814
0.002704411,0.003377636,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.69950736,0.4659009,0.393603535,0.011973679,0.007147425,0.978230498,0.999857204,0.128130238
0.002751823,0.00343685,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6945813,0.46647847,0.393085239,0.011955414,0.007132814,0.978398868,0.999856466,0.128130662
0.002799234,0.003496064,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6896552,0.46703672,0.392564604,0.011937238,0.007118022,0.978566283,0.999855775,0.128131109
0.002846645,0.003555277,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6847291,0.4675768,0.392041773,0.011918927,0.007103471,0.978732931,0.99985536,0.12813154
0.002894056,0.003614491,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.67980295,0.46809942,0.391516826,0.011900661,0.007088724,0.978898425,0.999854749,0.128131972
0.002941467,0.003673704,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6748768,0.4686054,0.390989868,0.01188244,0.007074158,0.979062815,0.999854265,0.128132403
0.002988878,0.003732918,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6699507,0.46909565,0.390461016,0.011864265,0.007059576,0.979226471,0.999853573,0.128132835
0.00303629,0.003792131,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.66502464,0.46957076,0.389930339,0.011845999,0.00704492,0.979389444,0.999852824,0.128133276
0.003083701,0.003851344,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.66009855,0.4700315,0.389397923,0.011827823,0.007030338,0.979551156,0.999852363,0.12813371
0.003131112,0.003910558,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6551724,0.47047853,0.388863842,0.011809603,0.007015862,0.979712239,0.999851671,0.128134154
0.003178523,0.003969771,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6502463,0.47091246,0.388328184,0.011791442,0.00700131,0.979872482,0.999851037,0.128134596
0.003225934,0.004028985,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6453202,0.47133374,0.387790998,0.011773297,0.006986834,0.980031885,0.999850518,0.128135043
0.003273345,0.004088198,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6403941,0.471743,0.387252359,0.011755031,0.006972357,0.980190689,0.999849711,0.128135474
0.003320756,0.004147412,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.635468,0.4721408,0.386712336,0.011736765,0.006958001,0.980348485,0.999849181,0.128135913
0.003368167,0.004206625,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6305419,0.47252744,0.386170964,0.01171868,0.006943599,0.98050564,0.999848489,0.128136363
0.003415579,0.004265839,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6256158,0.4729036,0.385628326,0.01170046,0.006929213,0.980661987,0.999847936,0.128136794
0.00346299,0.004325052,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.62068963,0.47326952,0.385084442,0.011682299,0.006914811,0.980817767,0.999847256,0.128137251
0.003510401,0.004384266,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.61576355,0.47362578,0.384539401,0.011664245,0.006900545,0.980972686,0.999846599,0.128137683
0.003557812,0.00444348,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.61083746,0.47397256,0.383993214,0.011645918,0.006886248,0.981127153,0.999845953,0.128138129
0.003605223,0.004502693,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6059114,0.4743104,0.38344595,0.011627758,0.006871847,0.981280854,0.999845331,0.128138571
0.003652635,0.004561907,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.6009852,0.4746396,0.382897626,0.011609628,0.006857851,0.981433746,0.999844708,0.128139013
0.003700046,0.00462112,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.5960591,0.4749605,0.38234831,0.011591498,0.006843644,0.981586218,0.999843947,0.128139472
