mean,trans,pre_trans,s2s,pres2s,dae
0.1814498972023082,0.9557973846807162,0.9964875898205066,0.0,0.6450658733531327,0.8096806665545642
0.3369967060134784,0.9701533055326064,0.9890220374280556,0.0588510246425592,0.7063323416913363,0.8579937665292993
0.3704800923279792,0.9689984718183795,0.9847064686890692,0.08108259003691276,0.7201359966001064,0.8668082249754729
0.3512465288309219,0.9740063519077016,0.9816093348814846,0.09189425856998568,0.711092222694333,0.8674937211276506
0.3690325118789177,0.9726411707355378,0.9754410249357591,0.08360326104415705,0.7197960050998518,0.870666182481631
0.4009181373232691,0.9782144581444202,0.9812137294956134,0.09970111953006988,0.7152741181470219,0.8748735043945608
0.40439630253405934,0.9607274532173182,0.9825789592568623,0.09576270510035412,0.688278793030122,0.8762291047329761
0.3482522163581705,0.9569680214398317,0.9878186550101158,0.12048110912383403,0.6657033574159641,0.8695615044081111
0.31735899589225136,0.9526036009571348,0.9938762220155993,0.10555015000807899,0.6449638759030449,0.8672025029173909
0.29980772225898633,0.9576274238725782,0.9956078403035984,0.1042337845918695,0.6490437739055324,0.8640858402082829
0.2969398637915188,0.9608728567615428,0.9978795881870193,0.10628318486730148,0.6151126221843697,0.8640437614524753
0.2816456409462025,0.9484053260004306,0.9941093081399106,0.1000126394905575,0.6132426689332533,0.8609516373020172
0.2810450757066332,0.9685413328289612,1.0,0.07867246989901167,0.6224224394389921,0.861495117653344
0.32090213262145983,0.9771838511177047,0.9968136246362056,0.048781365284970124,0.6327921801954517,0.8663150176639794
0.3531219203678231,0.9769107496520302,0.9954393201169692,0.0656271496416011,0.6571185720356425,0.8707011189223081
0.3568933131644596,0.9743553545825863,0.995453530801818,0.07094963395312648,0.660161495962484,0.8722996133419448
0.3599106546221722,0.9672906014236625,0.9899704152849448,0.07936853534036115,0.677178070548166,0.87371257366854
0.36232429756419915,0.977379746749333,0.9910133637048623,0.07955508993237781,0.6758691032723618,0.8749775939484008
