SP,RP,TI,TT,UT,LMS,CML,MLR
2707352,2189672,0.000350125,3.51E-05,0.000342123,0,0,0.003129257
2707388,2189720,0.000164,4.31E-05,0.000171999,0,0,0.003129215
2707436,2189768,0.047906138,4.72E-05,0.047910256,0,0,0.00312916
2707484,2189816,0.1,4.65E-05,0.099999329,0,0,0.003129104
2707532,2189864,0.1,4.63E-05,0.099999785,0,0,0.003129049
2707580,2189912,0.1,4.67E-05,0.100000398,0,0,0.003128993
2707628,2189960,0.1,4.67E-05,0.10000001,0,0,0.003128938
2707676,2190008,0.1,4.75E-05,0.1000008,0,0,0.003128882
2707724,2190056,0.1,4.68E-05,0.099999315,0,0,0.003128827
2707772,2190104,0.1,4.70E-05,0.100000167,0,0,0.003128772
2707820,2190152,0.1,4.62E-05,0.099999213,0,0,0.003128716
2707868,2190200,0.1,4.67E-05,0.100000529,0,0,0.003128661
2707916,2190248,0.1,4.71E-05,0.100000334,0,0,0.003128605
2707964,2190296,0.1,4.73E-05,0.10000028,0,0,0.00312855
2708012,2190328,0.1,4.80E-05,0.100000638,0,0,0.003128494
2708060,2190376,0.1,-0.099911427,4.06E-05,0,0,0.003128439
2708108,2190408,0.1,-0.099951818,0.099959609,0,0,0.003128383
2708156,2190440,0.1,-0.049912387,0.150039431,0,0,0.003128328
2708204,2190440,0.1,-1,-1,1,1,0.003129011
2708252,2190472,0.1,8.71E-05,0.249999478,0,0,0.003128586
2708300,2190472,0.1,-1,-1,1,1,0.003129269
2708348,2190472,0.1,-1,-1,1,2,0.003129583
2708396,2190472,0.1,-1,-1,1,3,0.003129897
2708444,2190520,0.1,8.81E-05,0.400001022,0,0,0.003129472
2708492,2190568,0.1,4.85E-05,0.099960377,0,0,0.003129417
2708540,2190616,0.1,4.82E-05,0.099999732,0,0,0.003129361
2708588,2190630,0.1,4.77E-05,0.09999947,0,0,0.003129306
2708602,2190664,0.050101785,3.56E-05,0.050089696,0,0,0.00312929
2708636,2190678,0.000624,4.36E-05,0.000631994,0,0,0.00312925
2708650,2190712,0.000331191,3.56E-05,0.000323187,0,0,0.003129234
2708684,2190726,0.000664,4.36E-05,0.000671994,0,0,0.003129195
2708698,2190762,0.000651168,3.56E-05,0.000643162,0,0,0.003129179
2708734,2190810,0.000484,4.36E-05,0.000491995,0,0,0.003129137
2708782,2190842,0.047143856,4.73E-05,0.047147616,0,0,0.003129082
2708830,2190890,0.1,-0.099911282,4.14E-05,0,0,0.003129026
2708878,2190938,0.1,-0.09995289,0.099958392,0,0,0.003128971
2708926,2190986,0.1,-0.099953415,0.099999475,0,0,0.003128915
2708974,2191034,0.1,-0.099952858,0.100000557,0,0,0.00312886
2709022,2191082,0.1,-0.099953366,0.099999492,0,0,0.003128804
2709070,2191130,0.1,-0.099952843,0.100000522,0,0,0.003128749
2709118,2191178,0.1,-0.099953003,0.09999984,0,0,0.003128694
2709166,2191226,0.1,-0.09995322,0.099999783,0,0,0.003128638
2709214,2191274,0.1,-0.099953502,0.099999718,0,0,0.003128583
2709262,2191322,0.1,-0.09995385,0.099999651,0,0,0.003128527
2709310,2191370,0.1,-0.099952914,0.100000936,0,0,0.003128472
2709358,2191402,0.1,-0.099952932,0.099999982,0,0,0.003128416
2709406,2191450,0.1,-0.149911061,0.050041871,0,0,0.003128361
2709454,2191498,0.1,-0.199952261,0.0499588,0,0,0.003128306
2709502,2191546,0.1,-0.199952304,0.099999956,0,0,0.00312825
2709550,2191578,0.1,-0.199951841,0.100000463,0,0,0.003128195
2709598,2191626,0.1,-0.299911875,4.00E-05,0,0,0.003128139
2709646,2191658,0.1,-0.299951545,0.09996033,0,0,0.003128084
2709694,2191690,0.1,-0.24991228,0.150039264,0,0,0.003128028
2709742,2191738,0.1,-0.099911957,0.250000323,0,0,0.003127973
2709790,2191738,0.1,-1,-1,1,1,0.003128656
2709838,2191738,0.1,-1,-1,1,2,0.003128969
2709886,2191770,0.1,4.85E-05,0.399960474,0,0,0.003128545
2709934,2191818,0.050179046,-0.050091451,3.91E-05,0,0,0.003128489
2709982,2191866,0.049820954,-0.049772362,0.050140042,0,0,0.003128434
2710030,2191914,0.1,-0.099951808,0.049820554,0,0,0.003128379
2710078,2191962,0.1,-0.099952259,0.099999548,0,0,0.003128323
2710092,2191976,0.050101633,-0.050053897,0.099999996,0,0,0.003128307
2710126,2192010,0.000524,-0.000488823,0.050089074,0,0,0.003128268
2710140,2192024,0.000670343,-0.000627169,0.000531996,0,0,0.003128252
2710174,2192058,0.000564,-0.000528831,0.000662339,0,0,0.003128212
2710188,2192072,0.000630327,-0.000587161,0.000571996,0,0,0.003128196
2710224,2192108,0.000644,-0.000608839,0.000622322,0,0,0.003128155
2710272,2192156,0.046865697,-0.04682254,0.000651996,0,0,0.003128099
2710320,2192188,0.1,-0.09995285,0.046869691,0,0,0.003128044
2710368,2192236,0.1,-0.199910843,4.20E-05,0,0,0.003127989
2710416,2192284,0.1,-0.199952827,0.099958016,0,0,0.003127933
2710464,2192332,0.1,-0.199953772,0.099999055,0,0,0.003127878
2710512,2192380,0.1,-0.19995346,0.100000312,0,0,0.003127822
2710560,2192428,0.1,-0.199953305,0.100000155,0,0,0.003127767
2710608,2192476,0.1,-0.199953046,0.100000259,0,0,0.003127712
2710656,2192524,0.1,-0.199952874,0.100000172,0,0,0.003127656
2710704,2192572,0.1,-0.19995341,0.099999464,0,0,0.003127601
2710752,2192620,0.1,-0.199952789,0.100000622,0,0,0.003127545
2710800,2192668,0.1,-0.199953427,0.099999362,0,0,0.00312749
2710848,2192716,0.1,-0.199952887,0.10000054,0,0,0.003127435
2710896,2192748,0.1,-0.199952729,0.100000158,0,0,0.003127379
2710944,2192796,0.1,-0.249911272,0.050041458,0,0,0.003127324
2710992,2192844,0.1,-0.299952353,0.049958919,0,0,0.003127269
2711040,2192892,0.1,-0.299951855,0.100000498,0,0,0.003127213
2711088,2192924,0.1,-0.299951574,0.100000281,0,0,0.003127158
2711136,2192956,0.1,-0.399912278,3.93E-05,0,0,0.003127102
2711184,2192988,0.1,-0.249913293,0.249998985,0,0,0.003127047
2711232,2193036,0.1,-0.099912985,0.250000309,0,0,0.003126992
2711280,2193036,0.1,-1,-1,1,1,0.003127674
2711328,2193084,0.1,0.050507121,0.350420106,0,0,0.00312725
2711376,2193116,0.050458775,0.049589472,0.049541126,0,0,0.003127194
2711424,2193164,0.049541225,8.81E-05,3.99E-05,0,0,0.003127139
2711472,2193212,0.1,4.81E-05,0.099959957,0,0,0.003127084
2711520,2193226,0.1,4.74E-05,0.099999326,0,0,0.003127028
2711534,2193260,0.050101654,3.52E-05,0.050089488,0,0,0.003127012
2711568,2193274,0.000624,4.32E-05,0.000631995,0,0,0.003126973
2711582,2193308,0.00061044,3.52E-05,0.000602436,0,0,0.003126957
2711616,2193322,0.000224,4.32E-05,0.000231998,0,0,0.003126918
2711630,2193358,0.000510428,3.52E-05,0.000502425,0,0,0.003126902
2711666,2193406,0.000184,4.32E-05,0.000191999,0,0,0.00312686
2711714,2193454,0.047745477,4.71E-05,0.047749413,0,0,0.003126805
2711762,2193502,0.1,4.67E-05,0.099999556,0,0,0.003126749
2711810,2193550,0.1,4.62E-05,0.099999534,0,0,0.003126694
2711858,2193598,0.1,4.69E-05,0.100000627,0,0,0.003126639
2711906,2193646,0.1,4.67E-05,0.099999841,0,0,0.003126583
2711954,2193694,0.1,4.76E-05,0.100000859,0,0,0.003126528
2712002,2193742,0.1,4.68E-05,0.099999223,0,0,0.003126473
2712050,2193790,0.1,4.68E-05,0.100000031,0,0,0.003126417
2712098,2193838,0.1,4.62E-05,0.099999343,0,0,0.003126362
2712146,2193886,0.1,4.65E-05,0.100000352,0,0,0.003126307
2712194,2193934,0.1,4.71E-05,0.100000549,0,0,0.003126251
2712242,2193966,0.1,4.72E-05,0.100000185,0,0,0.003126196
2712290,2194014,0.1,-0.099911098,4.17E-05,0,0,0.003126141
