st,p,sp,ti
0.038344152132,48.0,48.0,-1
0.138344152132,48.0,96.0,0.09999999999999999
0.238344152132,48.0,144.0,0.1
0.281198206971,48.0,192.0,0.04285405483900001
0.338344152132,48.0,240.0,0.05714594516099997
0.438344152132,48.0,288.0,0.10000000000000003
0.538344152132,48.0,336.0,0.10000000000000003
0.580882199511,14.0,350.0,0.04253804737899991
0.581126199511,34.0,384.0,0.00024400000000002198
0.581496576285,14.0,398.0,0.0003703767739999808
0.581980576285,34.0,432.0,0.00048400000000003995
0.58255095301,14.0,446.0,0.0005703767250000435
0.58295495301,36.0,482.0,0.00040399999999995995
0.638344152132,48.0,530.0,0.05538919912200002
0.738344152132,48.0,578.0,0.09999999999999998
0.838344152132,48.0,626.0,0.09999999999999998
0.938344152132,48.0,674.0,0.09999999999999998
1.038344152132,48.0,722.0,0.10000000000000009
1.138344152132,48.0,770.0,0.09999999999999987
1.238344152132,48.0,818.0,0.10000000000000009
1.338344152132,48.0,866.0,0.10000000000000009
1.438344152132,48.0,914.0,0.09999999999999987
1.538344152132,48.0,962.0,0.10000000000000009
1.638344152132,48.0,1010.0,0.09999999999999987
1.738344152132,48.0,1058.0,0.10000000000000009
1.838344152132,48.0,1106.0,0.10000000000000009
1.938344152132,48.0,1154.0,0.09999999999999987
2.038344152132,48.0,1202.0,0.09999999999999987
2.138344152132,48.0,1250.0,0.10000000000000009
2.238344152132,48.0,1298.0,0.10000000000000009
2.338344152132,48.0,1346.0,0.10000000000000009
2.438344152132,48.0,1394.0,0.10000000000000009
2.538344152132,48.0,1442.0,0.09999999999999964
2.638344152132,48.0,1490.0,0.10000000000000009
2.738344152132,48.0,1538.0,0.10000000000000009
2.838344152132,48.0,1586.0,0.10000000000000009
2.938344152132,48.0,1634.0,0.10000000000000009
3.038344152132,48.0,1682.0,0.09999999999999964
3.138344152132,48.0,1730.0,0.10000000000000009
3.238344152132,48.0,1778.0,0.10000000000000009
3.338344152132,48.0,1826.0,0.10000000000000009
3.438344152132,48.0,1874.0,0.10000000000000009
3.538344152132,48.0,1922.0,0.09999999999999964
3.638344152132,48.0,1970.0,0.10000000000000009
3.738344152132,48.0,2018.0,0.10000000000000009
3.838344152132,48.0,2066.0,0.10000000000000009
3.938344152132,48.0,2114.0,0.10000000000000009
4.038344152132,48.0,2162.0,0.09999999999999964
4.138344152132,48.0,2210.0,0.10000000000000053
4.238344152132,48.0,2258.0,0.09999999999999964
4.338344152132,48.0,2306.0,0.09999999999999964
4.438344152132,48.0,2354.0,0.10000000000000053
4.538344152132,48.0,2402.0,0.09999999999999964
4.638344152132,48.0,2450.0,0.10000000000000053
4.738344152132,48.0,2498.0,0.09999999999999964
4.838344152132,48.0,2546.0,0.09999999999999964
4.938344152132,48.0,2594.0,0.10000000000000053
5.038344152132,48.0,2642.0,0.09999999999999964
