rt,p,rp,ut
0.038391351126,48.0,48.0,-1
0.138391341555,48.0,96.0,0.09999999042899999
0.238391332058,48.0,144.0,0.09999999050300001
0.281245362906,48.0,192.0,0.04285403084799999
0.338391322636,48.0,240.0,0.05714595973000003
0.438391313291,48.0,288.0,0.09999999065499998
0.538391304025,48.0,336.0,0.09999999073400001
0.580917307068,14.0,350.0,0.04252600304300003
0.581169307046,34.0,384.0,0.00025199997799996154
0.581531602889,14.0,398.0,0.0003622958429999601
0.582023602844,34.0,432.0,0.0004919999550000442
0.582585898493,14.0,446.0,0.0005622956490000108
0.582997898456,36.0,482.0,0.0004119999630000093
0.638391294839,48.0,530.0,0.055393396383000004
0.738391285736,48.0,578.0,0.09999999089699996
0.838391276717,48.0,626.0,0.09999999098099999
0.938391267785,48.0,674.0,0.09999999106800006
1.038391258942,48.0,722.0,0.09999999115699987
1.13839125019,48.0,770.0,0.09999999124800008
1.238391241531,48.0,818.0,0.09999999134100013
1.338391232967,48.0,866.0,0.09999999143599991
1.438391224501,48.0,914.0,0.09999999153399997
1.538391216135,48.0,962.0,0.09999999163399997
1.638391207871,48.0,1010.0,0.09999999173599994
1.738391199712,48.0,1058.0,0.09999999184100017
1.83839119166,48.0,1106.0,0.09999999194799991
1.938391183718,48.0,1154.0,0.09999999205799992
2.038391175888,48.0,1202.0,0.09999999217000011
2.138391168173,48.0,1250.0,0.0999999922849999
2.238391160576,48.0,1298.0,0.09999999240300017
2.338391153098,48.0,1346.0,0.09999999252200009
2.438391145744,48.0,1394.0,0.09999999264600001
2.538391138515,48.0,1442.0,0.09999999277100002
2.638391131415,48.0,1490.0,0.09999999289999995
2.738391124446,48.0,1538.0,0.09999999303100005
2.838391117611,48.0,1586.0,0.09999999316499997
2.938391110913,48.0,1634.0,0.09999999330199971
3.038391104355,48.0,1682.0,0.09999999344200017
3.13839109794,48.0,1730.0,0.099999993585
3.23839109167,48.0,1778.0,0.09999999373000001
3.338391085549,48.0,1826.0,0.09999999387899994
3.43839107958,48.0,1874.0,0.09999999403100013
3.538391073765,48.0,1922.0,0.09999999418500005
3.638391068107,48.0,1970.0,0.0999999943419998
3.73839106261,48.0,2018.0,0.0999999945029999
3.838391057277,48.0,2066.0,0.09999999466700027
3.938391052109,48.0,2114.0,0.09999999483199984
4.038391047111,48.0,2162.0,0.0999999950020003
4.138391042284,48.0,2210.0,0.09999999517299951
4.238391037632,48.0,2258.0,0.09999999534799997
4.338391033158,48.0,2306.0,0.09999999552599981
4.438391028864,48.0,2354.0,0.09999999570600071
4.538391024753,48.0,2402.0,0.0999999958890001
4.638391020827,48.0,2450.0,0.09999999607399968
4.73839101709,48.0,2498.0,0.0999999962629996
4.838391013542,48.0,2546.0,0.09999999645200042
4.938391010188,48.0,2594.0,0.0999999966459999
5.038391007029,48.0,2642.0,0.09999999684100036
5.138391004067,48.0,2690.0,0.09999999703799922
5.238391001304,48.0,2738.0,0.09999999723700004
5.338390998743,48.0,2786.0,0.09999999743900023
5.438390996385,48.0,2834.0,0.09999999764200052
5.538390994232,48.0,2882.0,0.09999999784700009
5.638390992285,48.0,2930.0,0.09999999805299975
5.738390990545,48.0,2978.0,0.0999999982599995
5.838390989015,48.0,3026.0,0.0999999984700004
5.938390987696,48.0,3074.0,0.09999999868099962
6.038390986587,48.0,3122.0,0.09999999889100053
6.138390985691,48.0,3170.0,0.09999999910399993
6.238390985008,48.0,3218.0,0.09999999931700021
6.338390984537,48.0,3266.0,0.09999999952899952
6.438390984281,48.0,3314.0,0.09999999974399998
6.538390984238,48.0,3362.0,0.09999999995700026
6.63839098441,48.0,3410.0,0.10000000017199984
6.738390984795,48.0,3458.0,0.10000000038500012
6.838390985393,48.0,3506.0,0.10000000059799952
6.938390986205,48.0,3554.0,0.10000000081200078
7.038390987229,48.0,3602.0,0.1000000010239992
7.138390988465,48.0,3650.0,0.10000000123600028
7.238390989911,48.0,3698.0,0.1000000014460003
7.338390991567,48.0,3746.0,0.10000000165599943
7.438390993432,48.0,3794.0,0.10000000186500024
7.538390995503,48.0,3842.0,0.1000000020709999
7.63839099778,48.0,3890.0,0.10000000227700045
7.738391000261,48.0,3938.0,0.10000000248099994
7.838391002944,48.0,3986.0,0.10000000268300013
7.938391005826,48.0,4034.0,0.10000000288200006
8.038391008907,48.0,4082.0,0.10000000308099999
8.138391012184,48.0,4130.0,0.10000000327699965
8.238391015655,48.0,4178.0,0.10000000347100091
8.338391019317,48.0,4226.0,0.10000000366199835
8.438391023168,48.0,4274.0,0.10000000385100094
8.538391027206,48.0,4322.0,0.1000000040379998
8.638391031427,48.0,4370.0,0.10000000422100008
8.73839103583,48.0,4418.0,0.10000000440300028
8.838391040412,48.0,4466.0,0.1000000045820002
8.938391045169,48.0,4514.0,0.10000000475699977
9.038391050099,48.0,4562.0,0.10000000492999916
9.1383910552,48.0,4610.0,0.10000000510100016
9.238391060468,48.0,4658.0,0.10000000526800079
9.3383910659,48.0,4706.0,0.10000000543199938
9.438391071494,48.0,4754.0,0.10000000559399957
9.538391077247,48.0,4802.0,0.10000000575300128
9.638391083155,48.0,4850.0,0.10000000590799907
9.738391089216,48.0,4898.0,0.10000000606100024
9.838391095427,48.0,4946.0,0.10000000621099936
9.938391101785,48.0,4994.0,0.100000006358
10.038391108287,48.0,5042.0,0.10000000650200036
10.138391114929,48.0,5090.0,0.10000000664200037
10.23839112171,48.0,5138.0,0.1000000067810003
10.338391128626,48.0,5186.0,0.10000000691599986
10.438391135674,48.0,5234.0,0.10000000704799916
10.538391142852,48.0,5282.0,0.10000000717800006
10.638391150157,48.0,5330.0,0.1000000073050007
10.738391157585,48.0,5378.0,0.1000000074279992
10.838391165135,48.0,5426.0,0.10000000755000116
10.938391172804,48.0,5474.0,0.1000000076689993
11.038391180588,48.0,5522.0,0.10000000778400064
11.138391188486,48.0,5570.0,0.10000000789800012
11.238391196495,48.0,5618.0,0.10000000800899933
11.338391204611,48.0,5666.0,0.10000000811599996
11.438391212834,48.0,5714.0,0.10000000822300059
11.53839122116,48.0,5762.0,0.10000000832599909
11.638391229586,48.0,5810.0,0.10000000842600087
11.738391238111,48.0,5858.0,0.10000000852499902
11.838391246733,48.0,5906.0,0.10000000862200054
11.938391255448,48.0,5954.0,0.10000000871499992
12.038391264255,48.0,6002.0,0.100000008807001
12.138391273152,48.0,6050.0,0.10000000889699834
12.238391282136,48.0,6098.0,0.10000000898400074
12.338391291206,48.0,6146.0,0.10000000906999951
12.438391300359,48.0,6194.0,0.10000000915299978
12.538391309594,48.0,6242.0,0.10000000923499996
12.638391318908,48.0,6290.0,0.10000000931400166
12.7383913283,48.0,6338.0,0.10000000939199971
12.838391337767,48.0,6386.0,0.10000000946699927
12.938391347308,48.0,6434.0,0.10000000954100052
13.038391356922,48.0,6482.0,0.10000000961399991
13.138391366606,48.0,6530.0,0.10000000968399902
13.238391376359,48.0,6578.0,0.1000000097530016
13.338391386179,48.0,6626.0,0.10000000981999868
13.438391396065,48.0,6674.0,0.100000009886001
13.538391406014,48.0,6722.0,0.10000000994899949
