SP,RP,TI,TT,UT,LMS,CML,MLR
604410,250600,0.1,4.85E-05,0.099999988,0,0,0.011594778
604458,250648,0.1,4.85E-05,0.099999988,0,0,0.011593858
604506,250680,0.1,8.76E-05,3.91E-05,0,0,0.011592937
604554,250728,0.1,4.85E-05,0.099960843,0,0,0.011592017
604602,250776,0.1,4.85E-05,0.099999988,0,0,0.011591096
604650,250808,0.1,0.050087663,0.050039186,0,0,0.011590176
604698,250856,0.1,4.85E-05,0.049960802,0,0,0.011589256
604746,250904,0.1,4.85E-05,0.099999988,0,0,0.011588336
604794,250952,0.1,4.84E-05,0.099999989,0,0,0.011587417
604842,250984,0.1,8.77E-05,3.92E-05,0,0,0.011586497
604890,251032,0.1,4.84E-05,0.099960752,0,0,0.011585578
604938,251080,0.1,4.84E-05,0.099999989,0,0,0.011584658
604986,251112,0.1,0.050087693,0.050039273,0,0,0.011583739
605034,251160,0.1,4.84E-05,0.049960716,0,0,0.01158282
605082,251208,0.1,4.84E-05,0.099999989,0,0,0.011581901
605130,251256,0.1,4.84E-05,0.09999999,0,0,0.011580983
605178,251288,0.1,8.77E-05,3.93E-05,0,0,0.011580064
605226,251336,0.1,4.84E-05,0.099960672,0,0,0.011579146
605274,251384,0.1,4.84E-05,0.09999999,0,0,0.011578227
605322,251416,0.1,0.050087716,0.050039349,0,0,0.011577309
605370,251464,0.1,4.84E-05,0.049960641,0,0,0.011576391
605418,251512,0.1,4.83E-05,0.09999999,0,0,0.011575473
605466,251560,0.1,4.83E-05,0.099999991,0,0,0.011574556
605514,251592,0.1,8.77E-05,3.94E-05,0,0,0.011573638
605562,251640,0.1,4.83E-05,0.099960604,0,0,0.011572721
605610,251688,0.1,4.83E-05,0.099999991,0,0,0.011571804
605658,251720,0.1,0.050087733,0.050039413,0,0,0.011570887
605706,251768,0.1,4.83E-05,0.049960579,0,0,0.01156997
605754,251816,0.1,4.83E-05,0.099999992,0,0,0.011569053
605802,251864,0.1,4.83E-05,0.099999992,0,0,0.011568136
605850,251896,0.1,8.77E-05,3.94E-05,0,0,0.01156722
605898,251944,0.1,4.83E-05,0.099960548,0,0,0.011566303
605946,251992,0.1,4.83E-05,0.099999992,0,0,0.011565387
605994,252024,0.1,0.050087744,0.050039464,0,0,0.011564471
606042,252072,0.1,4.83E-05,0.049960528,0,0,0.011563555
606090,252120,0.1,4.83E-05,0.099999993,0,0,0.011562639
606138,252168,0.1,4.83E-05,0.099999993,0,0,0.011561724
606186,252200,0.1,8.77E-05,3.95E-05,0,0,0.011560808
606234,252248,0.1,4.83E-05,0.099960505,0,0,0.011559893
606282,252296,0.1,4.82E-05,0.099999994,0,0,0.011558978
606330,252328,0.1,0.050087748,0.050039503,0,0,0.011558062
606378,252376,0.1,4.82E-05,0.049960491,0,0,0.011557148
